Stock,Horizon,Model,RMSE,MAE,MAPE
HCLTECH.NS,3d,Regime_MoE,0.030045503588634264,0.02218395520281544,160.3157017346507
HINDALCO.NS,3d,Linear_Regression,0.8916772006098941,0.8253367855817233,17138.544636867657
HINDALCO.NS,3d,Plain_LSTM,0.034142512523032326,0.027392925808255565,249.86448571503837
HINDALCO.NS,3d,LSTM_Sentiment,0.04749651527560808,0.0382820782080164,663.9640581213262
HINDALCO.NS,3d,Regime_MoE,0.03848316240941103,0.028905947409100925,512.7627827137438
ICICIBANK.NS,3d,Linear_Regression,0.17564097895248965,0.14662747035804555,3926.777197580241
ICICIBANK.NS,3d,Plain_LSTM,0.022850679179563276,0.018824417009274303,479.44964310455214
ICICIBANK.NS,3d,LSTM_Sentiment,0.017711504514799765,0.013511970034225381,219.83534696607165
ICICIBANK.NS,3d,Regime_MoE,0.018106088943548825,0.014059120202970468,247.8773816044229
INDIGO.NS,3d,Linear_Regression,0.5658356400712558,0.44250743542187293,9419.69483602906
INDIGO.NS,3d,Plain_LSTM,0.028381496467374933,0.02089383558155414,186.45199825706837
INDIGO.NS,3d,LSTM_Sentiment,0.029015589795755293,0.021471441050657604,253.68625352301808
INDIGO.NS,3d,Regime_MoE,0.03403172439974247,0.024985616402413334,297.4063172076576
MARUTI.NS,3d,Linear_Regression,0.9194795682656721,0.827747554568334,59397.385193839706
MARUTI.NS,3d,Plain_LSTM,0.0244336827699457,0.01979241849638115,759.3841664694489
MARUTI.NS,3d,LSTM_Sentiment,0.021193579616804247,0.016102658820919092,615.2403230454748
MARUTI.NS,3d,Regime_MoE,0.020370335511810708,0.015271066340939384,416.42042246130393
ONGC.NS,3d,Linear_Regression,0.37137149551115084,0.3356452265773137,982014.355668906
ONGC.NS,3d,Plain_LSTM,0.04017659507702373,0.034339779538819205,84522.83462960055
ONGC.NS,3d,LSTM_Sentiment,0.03232539801623023,0.02364381745975103,6243.014202647858
ONGC.NS,3d,Regime_MoE,0.040994163229113034,0.029142201957764756,183420.81199231648
TRENT.NS,3d,Linear_Regression,0.9451579698605553,0.5274771420619204,12964.868545826752
TRENT.NS,3d,Plain_LSTM,0.05590551506895814,0.034419710715919205,377.72962284141005
TRENT.NS,3d,LSTM_Sentiment,0.06102141603900412,0.043379041554607714,590.5844058273542
TRENT.NS,3d,Regime_MoE,0.05670600190894249,0.037979273436423606,498.73999724190776
ADANIENT.NS,7d,Linear_Regression,7.854764678122011,7.852853726827723,70018.0105289903
ADANIENT.NS,7d,Plain_LSTM,0.0835807448283737,0.07262157953634832,698.8119166151889
ADANIENT.NS,7d,LSTM_Sentiment,0.08358791111748108,0.07261738386094083,698.817022797322
ADANIENT.NS,7d,Regime_MoE,0.0747454760017303,0.06469415919322369,593.9415916114133
HCLTECH.NS,7d,Linear_Regression,7.700488477719094,7.602507715740393,96004.77160707989
HCLTECH.NS,7d,Plain_LSTM,0.04897087188957093,0.03963629930150849,237.77588211623066
HCLTECH.NS,7d,LSTM_Sentiment,0.05239699836345004,0.04263934669539859,221.1934037360195
HCLTECH.NS,7d,Regime_MoE,0.06416899215707299,0.054377928267710596,414.8869963285029
HINDALCO.NS,7d,Linear_Regression,1.0441192777114818,0.8986646985428964,8520.865906532585
HINDALCO.NS,7d,Plain_LSTM,0.0985682207559095,0.08561817571950534,391.5568513516705
HINDALCO.NS,7d,LSTM_Sentiment,0.07343609020138993,0.05905253815406006,198.61579751685574
HINDALCO.NS,7d,Regime_MoE,0.07761834082506208,0.061245224378465773,313.72847321617286
ICICIBANK.NS,7d,Linear_Regression,0.552013839557163,0.524078653813204,13767.306886558927
ICICIBANK.NS,7d,Plain_LSTM,0.05157308562494754,0.04697509449581756,1108.8781186257534
ICICIBANK.NS,7d,LSTM_Sentiment,0.032079932150271655,0.026645521853856678,452.49548289943596
ICICIBANK.NS,7d,Regime_MoE,0.04543146410645163,0.03948973890867744,816.4568737413848
INDIGO.NS,7d,Linear_Regression,1.0559845018836538,0.9226145710148633,137862.45314267994
INDIGO.NS,7d,Plain_LSTM,0.0555182702574562,0.04526565349914981,3816.9730887237642
INDIGO.NS,7d,LSTM_Sentiment,0.06465183951422565,0.0522726009192828,5089.921698998144
INDIGO.NS,7d,Regime_MoE,0.047065825386637034,0.03456088945799271,586.1235514363968
MARUTI.NS,7d,Linear_Regression,1.3166914271128125,1.1868208156839617,20553.384593067913
MARUTI.NS,7d,Plain_LSTM,0.03297535666565192,0.024811318637768722,233.82440209725272
MARUTI.NS,7d,LSTM_Sentiment,0.05027316944992525,0.03953928602635349,520.1555454310651
MARUTI.NS,7d,Regime_MoE,0.044837959472369036,0.036000212408159746,459.1898367665847
ONGC.NS,7d,Linear_Regression,0.8591300687201907,0.8269067111969939,20670.062259886745
ONGC.NS,7d,Plain_LSTM,0.06409527539464722,0.055674210747594315,1420.9345451635747
ONGC.NS,7d,LSTM_Sentiment,0.06639980396914386,0.054123400203336065,1154.5140536909757
ONGC.NS,7d,Regime_MoE,0.054442837402918456,0.042666611645868976,400.7593679041981
TRENT.NS,7d,Linear_Regression,2.765356110245843,2.5550093652961126,20105.58329054174
TRENT.NS,7d,Plain_LSTM,0.08169512293360909,0.04999474928986903,220.47463388454375
TRENT.NS,7d,LSTM_Sentiment,0.10344231766152244,0.07758224964621281,497.7167571082295
TRENT.NS,7d,Regime_MoE,0.08714180379555374,0.06055108274058599,361.9219397109996
